General Achievement Test (GAT),2018-06-13T10:00:00+10:00,2018-06-13T13:15:00+10:00
Extended Investigation: Critical Thinking Test (computer-based),2018-08-01T10:00:00+10:00,2018-08-01T11:10:00+10:00
Classical Greek,2018-10-23T13:55:00+11:00,2018-10-23T17:00:00+11:00
Armenian,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Bosnian,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Chin Hakha,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Croatian,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Dutch,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Filipino,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Hebrew,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Hindi,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Hungarian,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Karen,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Khmer,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Macedonian,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Maltese,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Persian,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Polish,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Portuguese,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Punjabi,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Romanian,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Russian,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Serbian,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Sinhala,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Swedish,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Tamil,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Turkish,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Ukrainian,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Yiddish,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Arabic,2018-10-23T14:00:00+11:00,2018-10-23T16:15:00+11:00
Korean First Language,2018-10-23T14:00:00+11:00,2018-10-23T16:15:00+11:00
Korean Second Language,2018-10-23T14:00:00+11:00,2018-10-23T16:15:00+11:00
Classical Hebrew,2018-10-24T09:25:00+11:00,2018-10-24T12:30:00+11:00
Auslan Sign Comprehension and Sign Production Examination,2018-10-24T08:00:00+11:00,2018-10-24T18:00:00+11:00
English,2018-10-31T09:00:00+11:00,2018-10-31T12:15:00+11:00
English as an Additional Language (EAL),2018-10-31T09:00:00+11:00,2018-10-31T12:15:00+11:00
Psychology,2018-11-01T09:00:00+11:00,2018-11-01T11:45:00+11:00
Economics,2018-11-01T14:00:00+11:00,2018-11-01T16:15:00+11:00
Biology,2018-11-02T09:00:00+11:00,2018-11-02T11:45:00+11:00
Further Mathematics Examination 1,2018-11-02T14:00:00+11:00,2018-11-02T15:45:00+11:00
